NO_SUBSTANCIA,TP_SUBSTANCIA,DS_INGREDIENTE_ATIVO,CLASSE_AGRONOMICA,NO_CULTURA,NO_UNIDADE_MEDIDA,Produto
E -11-hexadecenol,Quimico,E -11-hexadecenol,FEROMÔNIO SINTÉTICO,Cebolinha, KG,TMB Tubo Mata Bicudo
E -11-hexadecenol,Quimico,E -11-hexadecenol,FEROMÔNIO SINTÉTICO,Chicória, KG,Monitrap
E -11-hexadecenol,Quimico,E -11-hexadecenol,FEROMÔNIO SINTÉTICO,Citros, KG,Lasitrap
E -11-hexadecenol,Quimico,E -11-hexadecenol,FEROMÔNIO SINTÉTICO,Couve-Flor, KG,Biocydia
E -11-hexadecenol,Quimico,E -11-hexadecenol,FEROMÔNIO SINTÉTICO,Milho, KG,Migdo
E -11-hexadecenol,Quimico,E -11-hexadecenol,FEROMÔNIO SINTÉTICO,Pepino, KG,Cosmolure
E -11-hexadecenol,Quimico,E -11-hexadecenol,FEROMÔNIO SINTÉTICO,Soja, KG,Bio Serrico
E -11-hexadecenol,Quimico,E -11-hexadecenol,FEROMÔNIO SINTÉTICO,Melancia, KG,Iscalure Cydia
E -11-hexadecenol,Quimico,E -11-hexadecenol,FEROMÔNIO SINTÉTICO,Amendoim, KG,Iscalure Tuta
E -11-hexadecenol,Quimico,E -11-hexadecenol,FEROMÔNIO SINTÉTICO,Chuchu, KG,Iscalure Bonagota
E -11-hexadecenol,Quimico,E -11-hexadecenol,FEROMÔNIO SINTÉTICO,Repolho, KG,Gachon
E -11-hexadecenol,Quimico,E -11-hexadecenol,FEROMÔNIO SINTÉTICO,Tomate, KG,Bio Trimedlure
E -11-hexadecenol,Quimico,E -11-hexadecenol,FEROMÔNIO SINTÉTICO,Arroz, KG,Ferocitrus Furão
E -11-hexadecenol,Quimico,E -11-hexadecenol,FEROMÔNIO SINTÉTICO,Milheto, KG,Biographolita
E -11-hexadecenol,Quimico,E -11-hexadecenol,FEROMÔNIO SINTÉTICO,Sorgo, KG,Bio Neo
E -11-hexadecenol,Quimico,E -11-hexadecenol,FEROMÔNIO SINTÉTICO,Ervilha, KG,RMD-1
