NO_SUBSTANCIA;TP_SUBSTANCIA;DS_INGREDIENTE_ATIVO;CLASSE_AGRONOMICA;NO_CULTURA;NO_UNIDADE_MEDIDA;Produto
Hidrazida malàica;Quimico;Hidrazida malàica;C4H3N2O2K (sal pot†ssico);SIM;Limite M†ximo de Res°duos;Biodiatraea
E -11-hexadecenol;Quimico;E -11-hexadecenol;FEROM‚NIO SINTêTICO;Cebolinha;MILIGRAMA/KILOGRAMA;TMB Tubo Mata Bicudo
E -11-hexadecenol;Quimico;E -11-hexadecenol;FEROM‚NIO SINTêTICO;Chic¢ria;MILIGRAMA/KILOGRAMA;Monitrap
E -11-hexadecenol;Quimico;E -11-hexadecenol;FEROM‚NIO SINTêTICO;Citros;MILIGRAMA/KILOGRAMA;Lasitrap
E -11-hexadecenol;Quimico;E -11-hexadecenol;FEROM‚NIO SINTêTICO;Couve-Flor;MILIGRAMA/KILOGRAMA;Biocydia
E -11-hexadecenol;Quimico;E -11-hexadecenol;FEROM‚NIO SINTêTICO;Milho;MILIGRAMA/KILOGRAMA;Migdo
E -11-hexadecenol;Quimico;E -11-hexadecenol;FEROM‚NIO SINTêTICO;Pepino;MILIGRAMA/KILOGRAMA;Cosmolure
E -11-hexadecenol;Quimico;E -11-hexadecenol;FEROM‚NIO SINTêTICO;Soja;MILIGRAMA/KILOGRAMA;Bio Serrico
E -11-hexadecenol;Quimico;E -11-hexadecenol;FEROM‚NIO SINTêTICO;Melancia;MILIGRAMA/KILOGRAMA;Iscalure Cydia
E -11-hexadecenol;Quimico;E -11-hexadecenol;FEROM‚NIO SINTêTICO;Amendoim;MILIGRAMA/KILOGRAMA;Iscalure Tuta
E -11-hexadecenol;Quimico;E -11-hexadecenol;FEROM‚NIO SINTêTICO;Chuchu;MILIGRAMA/KILOGRAMA;Iscalure Bonagota
E -11-hexadecenol;Quimico;E -11-hexadecenol;FEROM‚NIO SINTêTICO;Repolho;MILIGRAMA/KILOGRAMA;Gachon
E -11-hexadecenol;Quimico;E -11-hexadecenol;FEROM‚NIO SINTêTICO;Tomate;MILIGRAMA/KILOGRAMA;Bio Trimedlure
E -11-hexadecenol;Quimico;E -11-hexadecenol;FEROM‚NIO SINTêTICO;Arroz;MILIGRAMA/KILOGRAMA;Ferocitrus Fur∆o
E -11-hexadecenol;Quimico;E -11-hexadecenol;FEROM‚NIO SINTêTICO;Milheto;MILIGRAMA/KILOGRAMA;Biographolita
E -11-hexadecenol;Quimico;E -11-hexadecenol;FEROM‚NIO SINTêTICO;Sorgo;MILIGRAMA/KILOGRAMA;Bio Neo
E -11-hexadecenol;Quimico;E -11-hexadecenol;FEROM‚NIO SINTêTICO;Ervilha;MILIGRAMA/KILOGRAMA;RMD-1
E -11-hexadecenol;Quimico;E -11-hexadecenol;FEROM‚NIO SINTêTICO;CafÇ;MILIGRAMA/KILOGRAMA;Bio Spodoptera
E -11-hexadecenol;Quimico;E -11-hexadecenol;FEROM‚NIO SINTêTICO;Coentro;MILIGRAMA/KILOGRAMA;Feromìnio Plato para Bicudo do Algodoeiro
